"spkid","full_name","pdes","name","prefix","neo","pha","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","class","producer","data_arc","first_obs","last_obs","condition_code","rms","two_body","A1","A2","A3","DT"
2000433,"   433 Eros (A898 PA)",433,Eros,,Y,N,10.31,0.46,,,,,,16.84,34.4x11.2x11.2,0.25,5.27,4.463e-04,2460000.5,60000,2023-02-25.0,J2000,0.2228,1.458,1.133,10.83,304.29,178.93,110.78,1.78,0.5598,2459802.60,2022-08-11.1,643,1.76,0.149,57.9,3.29,AMO,Giorgini,46582,1893-10-29,2021-05-13,0,.29796,,,,,
2000719,"   719 Albert (A911 TB)",719,Albert,,Y,N,15.59,,,,,,,,,,5.801,,2460000.5,60000,2023-02-25.0,J2000,0.5470,2.637,1.195,11.58,183.86,156.25,10.24,4.08,0.2301,2459956.02,2023-01-11.5,1.56e+03,4.28,0.2,77.8,1.42,AMO,"Otto Matic",40483,1911-10-04,2022-08-05,0,.40855,,,,,
2000887,"   887 Alinda (A918 AA)",887,Alinda,,Y,N,13.83,-0.12,,,,,,4.2,,0.31,28.41,,2460000.5,60000,2023-02-25.0,J2000,0.5707,2.472,1.061,9.40,110.42,350.48,188.04,3.88,0.2535,2460678.79,2025-01-03.2,1.42e+03,3.89,0.0801,31.2,1.32,AMO,"Otto Matic",38167,1918-02-03,2022-08-03,0,.40243,,,,,
2001036,"  1036 Ganymed (A924 UB)",1036,Ganymed,,Y,N,9.21,0.30,,,,,,37.675,,0.238,10.297,,2460000.5,60000,2023-02-25.0,J2000,0.5330,2.666,1.245,26.69,215.50,132.47,231.16,4.09,0.2264,2460569.53,2024-09-16.0,1.59e+03,4.35,0.344,134,1.95,AMO,"Otto Matic",35906,1924-10-23,2023-02-12,0,.36012,,,,,
2001221,"  1221 Amor (1932 EA1)",1221,Amor,,Y,N,17.38,,,,,,,1.0,,,,,2460000.5,60000,2023-02-25.0,J2000,0.4358,1.919,1.083,11.88,171.32,26.63,49.38,2.76,0.3708,2459867.32,2022-10-14.8,971,2.66,0.106,41.4,2.21,AMO,"Otto Matic",32775,1932-03-12,2021-12-05,0,.44014,,,,,
2001566,"  1566 Icarus (1949 MA)",1566,Icarus,,Y,Y,16.50,,,,,,,1.0,,0.51,2.2726,,2460000.5,60000,2023-02-25.0,J2000,0.8269,1.078,0.187,22.80,87.95,31.44,352.55,1.97,0.8804,2460008.96,2023-03-05.4,409,1.12,0.0339,13.2,3.22,APO,"Otto Matic",26694,1949-07-01,2022-08-01,0,.34727,,,-3.0e-15,,
2001580,"  1580 Betulia (1950 KA)",1580,Betulia,,Y,N,14.69,0.00,,,,,,5.8,,0.08,6.1324,,2460000.5,60000,2023-02-25.0,J2000,0.4870,2.198,1.127,52.10,62.26,159.55,137.66,3.27,0.3026,2459545.51,2021-11-27.0,1.19e+03,3.26,0.137,53.3,1.86,AMO,"Otto Matic",26512,1950-05-22,2022-12-22,0,.51899,,,,,
2001620,"  1620 Geographos (1951 RA)",1620,Geographos,,Y,Y,15.32,,,,,,,2.56,5.0x2.0x2.1,0.290,5.22204,,2460000.5,60000,2023-02-25.0,J2000,0.3355,1.246,0.828,13.34,337.17,276.96,224.05,1.66,0.7089,2460192.27,2023-09-04.7,508,1.39,0.0294,11.5,3.45,APO,"Otto Matic",26085,1951-09-14,2023-02-13,0,.34189,,,-2.8e-15,,
2001627,"  1627 Ivar (1929 SH)",1627,Ivar,,Y,N,12.75,0.60,,,,,,9.12,,0.15,4.795,,2460000.5,60000,2023-02-25.0,J2000,0.3965,1.864,1.125,8.45,133.12,167.81,284.00,2.60,0.3874,2460196.68,2023-09-09.1,929,2.54,0.112,43.4,2.65,AMO,"Otto Matic",34104,1929-09-25,2023-02-08,0,.35237,,,,,
2001685,"  1685 Toro (1948 OA)",1685,Toro,,Y,N,14.31,,,,,,,3.4,,0.31,10.1995,,2460000.5,60000,2023-02-25.0,J2000,0.4360,1.368,0.771,9.38,274.22,127.23,186.57,1.96,0.6163,2460281.91,2023-12-03.4,584,1.6,0.0511,19.9,3.48,APO,"Otto Matic",27224,1948-07-17,2023-01-29,0,.31971,,,-3.3e-15,,
2001862,"  1862 Apollo (1932 HA)",1862,Apollo,,Y,Y,16.11,0.09,,,,,,1.5,,0.25,3.065,,2460000.5,60000,2023-02-25.0,J2000,0.5599,1.471,0.647,6.35,35.56,286.06,281.25,2.29,0.5526,2460143.00,2023-07-17.5,651,1.78,0.0262,10.2,3.07,APO,"Otto Matic",33653,1930-12-13,2023-02-01,0,.46574,,,-3.8e-15,,
2001863,"  1863 Antinous (1948 EA)",1863,Antinous,,Y,N,15.44,,,,,,,2.1,,0.24,7.453,,2460000.5,60000,2023-02-25.0,J2000,0.6058,2.259,0.891,18.40,346.42,268.07,0.10,3.63,0.2902,2460000.16,2023-02-24.6,1.24e+03,3.4,0.184,71.6,2.01,APO,"Otto Matic",27299,1948-03-05,2022-12-01,0,.4867,,,,,
2001864,"  1864 Daedalus (1971 FA)",1864,Daedalus,,Y,N,14.77,,,,,,,3.7,,0.273,8.572,,2460000.5,60000,2023-02-25.0,J2000,0.6145,1.461,0.563,22.22,6.61,325.67,59.37,2.36,0.5582,2459894.14,2022-11-10.6,645,1.77,0.269,105,3.12,APO,"Otto Matic",18950,1971-03-24,2023-02-09,0,.40146,,,,,
2001865,"  1865 Cerberus (1971 UA)",1865,Cerberus,,Y,N,16.80,,,,,,,1.2,,0.22,6.8039,,2460000.5,60000,2023-02-25.0,J2000,0.4670,1.08,0.576,16.10,212.89,325.28,161.48,1.58,0.8782,2459816.62,2022-08-25.1,410,1.12,0.156,60.8,3.4,APO,"Otto Matic",18260,1971-10-26,2021-10-23,0,.39079,,,,,
2001866,"  1866 Sisyphus (1972 XA)",1866,Sisyphus,,Y,N,12.44,,,,,,,8.48,,0.15,2.4,,2460000.5,60000,2023-02-25.0,J2000,0.5383,1.894,0.874,41.20,63.46,293.10,122.45,2.91,0.3782,2459676.75,2022-04-07.2,952,2.61,0.103,40,3.25,APO,"Otto Matic",24854,1955-01-26,2023-02-12,0,.35138,,,,,
2001915,"  1915 Quetzalcoatl (1953 EA)",1915,Quetzalcoatl,,Y,N,18.05,0.10,,,,,,0.5,,0.21,4.9,,2460000.5,60000,2023-02-25.0,J2000,0.5704,2.544,1.093,20.40,162.94,347.80,138.62,3.99,0.243,2459429.95,2021-08-03.4,1.48e+03,4.06,0.109,42.4,1.06,AMO,"Otto Matic",18842,1953-03-09,2004-10-09,0,.69647,,,,,
